% Model,CPWG_BaseSim.mph
% Version,COMSOL 5.6.0.280
% Date,"Mar 19 2025, 21:38"
% Table,Table 21 - MUT_Integration
% freq (GHz),plane_x (mm),Electric field norm (V*m),emw.normE^2 (kg^2*m^4/(s^6*A^2)),S11 (m^2),S21 (m^2)
5,-0.45799999999999996,0.3882174602428422,3912.5898511352148,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.44799999999999995,0.38875749307641205,3928.480511284873,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.43799999999999994,0.389375695375593,3946.5344127007697,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.42799999999999994,0.3900699572334536,3965.683044097668,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.418,0.390896947355137,3987.8613625320536,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.4079999999999999,0.39176672541676905,4011.212721347417,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.39799999999999996,0.3927011658349767,4036.3168779558896,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.38799999999999996,0.39379620774719176,4066.789910326953,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.3779999999999999,0.39489405104475356,4099.276845601147,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.36799999999999994,0.3960974995896552,4134.040702732488,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.35799999999999993,0.3974330397688949,4174.951346738632,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.3479999999999999,0.39902363765413223,4224.161895894863,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.3379999999999999,0.40083845795460593,4279.557720539029,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.32799999999999996,0.40268110898832676,4336.157319182381,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.31799999999999995,0.404677426134006,4396.679383955015,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.30799999999999994,0.40678598561582757,4459.222615321783,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.29799999999999993,0.40895070654771265,4523.469019041431,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.288,0.41120859945692506,4591.183993832243,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.2779999999999999,0.41362582452444696,4663.183984176756,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
5,-0.26799999999999996,0.4160422775455407,4737.040945788597,-7.309236975064794E-7+3.531555631532842E-7i,-8.235128118774812E-5-1.821580801887312E-4i
