%"Dk
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk]
%Num. Points : [38]
%Matrix Size : scalar
%Type : Real","freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [Dk,freq]
%Num. Points : [38,3]
%Matrix Size : scalar
%Type : Complex
1.001,4.500 GHz,0.021 / -2.669 ,0.992 / -98.593 ,0.992 / -98.593 ,0.021 / -2.669 
1.001,5.000 GHz,0.034 / -14.894 ,0.990 / -109.649 ,0.990 / -109.649 ,0.034 / -14.895 
1.001,5.500 GHz,0.047 / -26.547 ,0.987 / -120.730 ,0.987 / -120.730 ,0.047 / -26.547 
1.001,4.500 GHz,0.021 / -2.668 ,0.992 / -98.593 ,0.992 / -98.593 ,0.021 / -2.669 
1.001,5.000 GHz,0.034 / -14.895 ,0.990 / -109.650 ,0.990 / -109.650 ,0.034 / -14.895 
1.001,5.500 GHz,0.047 / -26.547 ,0.987 / -120.731 ,0.987 / -120.731 ,0.047 / -26.548 
1.001,4.500 GHz,0.021 / -2.668 ,0.992 / -98.594 ,0.992 / -98.594 ,0.021 / -2.668 
1.001,5.000 GHz,0.034 / -14.895 ,0.990 / -109.650 ,0.990 / -109.650 ,0.034 / -14.895 
1.001,5.500 GHz,0.047 / -26.548 ,0.987 / -120.732 ,0.987 / -120.732 ,0.047 / -26.548 
1.001,4.500 GHz,0.021 / -2.667 ,0.992 / -98.594 ,0.992 / -98.594 ,0.021 / -2.668 
1.001,5.000 GHz,0.034 / -14.895 ,0.990 / -109.651 ,0.990 / -109.651 ,0.034 / -14.895 
1.001,5.500 GHz,0.047 / -26.548 ,0.987 / -120.732 ,0.987 / -120.732 ,0.047 / -26.549 
1.001,4.500 GHz,0.021 / -2.667 ,0.992 / -98.595 ,0.992 / -98.595 ,0.021 / -2.667 
1.001,5.000 GHz,0.034 / -14.895 ,0.990 / -109.651 ,0.990 / -109.651 ,0.034 / -14.895 
1.001,5.500 GHz,0.047 / -26.549 ,0.987 / -120.733 ,0.987 / -120.733 ,0.047 / -26.549 
1.001,4.500 GHz,0.021 / -2.666 ,0.992 / -98.595 ,0.992 / -98.595 ,0.021 / -2.667 
1.001,5.000 GHz,0.034 / -14.895 ,0.990 / -109.652 ,0.990 / -109.652 ,0.034 / -14.896 
1.001,5.500 GHz,0.047 / -26.549 ,0.987 / -120.733 ,0.987 / -120.733 ,0.047 / -26.549 
1.001,4.500 GHz,0.021 / -2.666 ,0.992 / -98.596 ,0.992 / -98.596 ,0.021 / -2.666 
1.001,5.000 GHz,0.034 / -14.895 ,0.990 / -109.652 ,0.990 / -109.652 ,0.034 / -14.895 
1.001,5.500 GHz,0.047 / -26.550 ,0.987 / -120.734 ,0.987 / -120.734 ,0.047 / -26.550 
1.002,4.500 GHz,0.021 / -2.661 ,0.992 / -98.600 ,0.992 / -98.600 ,0.021 / -2.661 
1.002,5.000 GHz,0.034 / -14.897 ,0.990 / -109.658 ,0.990 / -109.658 ,0.034 / -14.897 
1.002,5.500 GHz,0.047 / -26.554 ,0.987 / -120.740 ,0.987 / -120.740 ,0.047 / -26.554 
1.003,4.500 GHz,0.021 / -2.655 ,0.992 / -98.605 ,0.992 / -98.605 ,0.021 / -2.656 
1.003,5.000 GHz,0.034 / -14.898 ,0.990 / -109.663 ,0.990 / -109.663 ,0.034 / -14.899 
1.003,5.500 GHz,0.047 / -26.559 ,0.987 / -120.745 ,0.987 / -120.745 ,0.047 / -26.559 
1.004,4.500 GHz,0.021 / -2.650 ,0.992 / -98.610 ,0.992 / -98.610 ,0.021 / -2.651 
1.004,5.000 GHz,0.034 / -14.900 ,0.990 / -109.668 ,0.990 / -109.668 ,0.034 / -14.900 
1.004,5.500 GHz,0.047 / -26.564 ,0.987 / -120.751 ,0.987 / -120.751 ,0.047 / -26.564 
1.005,4.500 GHz,0.021 / -2.645 ,0.992 / -98.615 ,0.992 / -98.615 ,0.021 / -2.645 
1.005,5.000 GHz,0.034 / -14.901 ,0.990 / -109.673 ,0.990 / -109.673 ,0.034 / -14.901 
