freq	S(1,1)
5.01475694442968667E9	7.99651833143482094E-2 / -9.38616488402863780E1
5.01562499998437605E9	8.14533436939997202E-2 / -9.23622998610874824E1
5.01649305553906188E9	8.28725886210518503E-2 / -9.02567450069088828E1
5.01736111109375038E9	8.45973164275324940E-2 / -8.64573347382911450E1
5.01822916664843710E9	9.06379369320251271E-2 / -7.76803857277725029E1
5.01909722220312471E9	1.42695947340428830E-1 / -6.37661348237652348E1
5.01996527775781409E9	3.70422375206458154E-1 / -1.21954031779891858E2
5.02083333331249992E9	4.93264536635731865E-2 / 1.45235583598283369E2
5.02170138886718753E9	5.36135033470523048E-2 / -7.40471742795403287E1
5.02256944442187425E9	7.88342886657707886E-2 / -7.96818189831511781E1
5.02343749997656186E9	8.92926356915255148E-2 / -8.24790963180866399E1
5.02430555553125036E9	9.53376867917253534E-2 / -8.39585948383176550E1
5.02517361108593796E9	9.96461816188828919E-2 / -8.48309925920354857E1
5.02604166664062468E9	1.03138141293019947E-1 / -8.53984974417021014E1
5.02690972219531229E9	1.06195211381514243E-1 / -8.58040869271055939E1
5.02777777774999901E9	1.08997799554449681E-1 / -8.61218633666262612E1
5.02951388885937511E9	1.14172859165708873E-1 / -8.66416140213442354E1
5.03124999996875122E9	1.19023937095268106E-1 / -8.71243250890324106E1
5.03298611107812555E9	1.23679400918240834E-1 / -8.76330311160346653E1
5.03472222218749987E9	1.28189133379730569E-1 / -8.81926886281638822E1
5.03645833329687420E9	1.32571585288540872E-1 / -8.88122801376988136E1
5.03819444440625031E9	1.36831077668303358E-1 / -8.94935125168683143E1
5.03993055551562374E9	1.40965052949802150E-1 / -9.02346275220282124E1
5.04166666662499985E9	1.44967426968051405E-1 / -9.10322006368092751E1
5.04513888884375028E9	1.52544664782114525E-1 / -9.27796020425976131E1
5.04861111106249982E9	1.59490613249707547E-1 / -9.46995074829879790E1
5.05208333328125114E9	1.65729819424513036E-1 / -9.67553959096414218E1
5.05555555549999980E9	1.71189667387517552E-1 / -9.89115738133820521E1
5.06249999993750066E9	1.79516967347653367E-1 / -1.03381478961781137E2
5.06944444437499975E9	1.84096400520528425E-1 / -1.07799399004893059E2
5.07638888881250061E9	1.84947341729205927E-1 / -1.11775677594294631E2
5.08333333324999881E9	1.82986637251233897E-1 / -1.14817348281673537E2
5.09027777768749967E9	1.80716903560758113E-1 / -1.16548185650197067E2
5.09722222212499965E9	1.81647195123724825E-1 / -1.17383033760004118E2
5.10416666656249962E9	1.86825124756606709E-1 / -1.18704169358589873E2
5.11111111100000048E9	1.93099552072884961E-1 / -1.21420249923739521E2
5.11805555543749957E9	1.96928960938283781E-1 / -1.25218137467245283E2
5.12499999987499955E9	1.97073159260824404E-1 / -1.29413123536784158E2
5.13194444431250041E9	1.93855189760557489E-1 / -1.33527319784117138E2
5.13888888875000038E9	1.88056371921898413E-1 / -1.37295583179796554E2
5.14583333318749947E9	1.80502340180699816E-1 / -1.40558787012565456E2
5.15277777762499944E9	1.72003078487506444E-1 / -1.43211580360959800E2
5.15972222206250031E9	1.63342594412493680E-1 / -1.45203599240997372E2
5.16666666650000028E9	1.55218943938879850E-1 / -1.46564933990296042E2
5.17361111093750115E9	1.48142072341917075E-1 / -1.47426389513144018E2
5.18055555537500023E9	1.42339167811893486E-1 / -1.48010052846903939E2
5.18749999981250021E9	1.37719529581961364E-1 / -1.48583176797960270E2
5.19444444425000018E9	1.33918600050710523E-1 / -1.49395224470943200E2
5.20138888868749927E9	1.30392914654340508E-1 / -1.50630900491790354E2
5.20833333312499924E9	1.26509873656803795E-1 / -1.52396106420993882E2
5.21527777756250188E9	1.21587663011630065E-1 / -1.54723642249437665E2
5.22222222200000097E9	1.14885319221578075E-1 / -1.57560548795206867E2
5.22916666643750094E9	1.05622981595315268E-1 / -1.60679012760558426E2
5.23611111087500003E9	9.32294799407566188E-2 / -1.63441094428120870E2
5.24305555531250089E9	7.80156763625678273E-2 / -1.64391211745565258E2
5.24999999975000087E9	6.20366796509780549E-2 / -1.60815719459529238E2
5.25694444418749995E9	4.94327795384134205E-2 / -1.49103105496237309E2
5.26388888862499993E9	4.52951348772434681E-2 / -1.29501925999047351E2
5.27083333306249902E9	5.11026745516706793E-2 / -1.11560469222410852E2
5.27777777750000077E9	6.30910187404479927E-2 / -1.01495654944120117E2
5.28472222193749985E9	7.75407381202684043E-2 / -9.75718666556327285E1
5.29166666637500072E9	9.25130584177215809E-2 / -9.72451997454097850E1
5.29861111081249980E9	1.06996687236887134E-1 / -9.90160663873602331E1
5.30555555524999978E9	1.20332884182969435E-1 / -1.02065589316612693E2
5.31249999968749975E9	1.32023722480037109E-1 / -1.05900095459611743E2
5.31944444412499884E9	1.41770223921567995E-1 / -1.10177451006536375E2
5.32638888856249970E9	1.49563278361036378E-1 / -1.14714865864991511E2
5.33333333299999968E9	1.55183980576694558E-1 / -1.19499257676858273E2
5.34027777743750143E9	1.58113790118857400E-1 / -1.24358983734666961E2
5.34722222187500051E9	1.58364619229934056E-1 / -1.29030143028867794E2
5.35416666631249960E9	1.56302925676861904E-1 / -1.33316287837624081E2
5.36111111075000046E9	1.52464189901636171E-1 / -1.37064908205217373E2
5.36805555518750044E9	1.47493968949303134E-1 / -1.40163839043351102E2
5.37499999962499952E9	1.42085404201501220E-1 / -1.42555622162038320E2
5.38194444406249950E9	1.36903053850057699E-1 / -1.44261151794815379E2
5.38888888849999947E9	1.32490395726110100E-1 / -1.45400194202553523E2
5.39583333293750034E9	1.29176527652097661E-1 / -1.46188695106808431E2
5.40277777737499942E9	1.27016819304738826E-1 / -1.46898414514734332E2
5.40972222181249940E9	1.25801761943650914E-1 / -1.47788845148024883E2
5.41666666624999937E9	1.25137535747087880E-1 / -1.49045232356465318E2
5.42361111068750024E9	1.24562895334207524E-1 / -1.50752594049470079E2
5.43055555512499932E9	1.23653812370300797E-1 / -1.52908392325111508E2
5.43749999956249930E9	1.22085180192320442E-1 / -1.55455322773133897E2
5.44444444400000016E9	1.19645873613380216E-1 / -1.58314332404549929E2
5.45138888849999947E9	1.16220927026461718E-1 / -1.61407318748898154E2
5.45833333299999968E9	1.11759309030541942E-1 / -1.64667510029117881E2
5.46527777750000077E9	1.06242401057109848E-1 / -1.68039640083260444E2
5.47222222200000097E9	9.96618922216747549E-2 / -1.71472726155765187E2
5.47916666650000028E9	9.20097701424133341E-2 / -1.74906917956629870E2
5.48611111100000048E9	8.32792855279398303E-2 / -1.78252757387418015E2
5.49305555549999891E9	7.34749738835445854E-2 / 1.78645332503017285E2
5.50000000000000000E9	6.26326536824654667E-2 / 1.76085917541455039E2
5.50694444450000109E9	5.08602660278165075E-2 / 1.74703617023040669E2
5.51388888899999952E9	3.84475027370118516E-2 / 1.76048193895218441E2
5.52083333349999972E9	2.62792232996889030E-2 / -1.75357776765378759E2
5.52777777799999903E9	1.77753163495350219E-2 / -1.46668330636734234E2
5.53472222249999923E9	2.08467544527447801E-2 / -1.04240365445020067E2
5.54166666700000032E9	3.31919057141662943E-2 / -8.62972839697865268E1
5.54861111150000053E9	4.83052352825557030E-2 / -8.26366509202103217E1
5.55555555599999984E9	6.39948785627677541E-2 / -8.42445970832037716E1
5.56250000043750070E9	7.93586083833680700E-2 / -8.81855543440358858E1
5.56944444487500068E9	9.37992294750002920E-2 / -9.33424622721775066E1
5.57638888931249976E9	1.06828788175578993E-1 / -9.91937189466318792E1
5.58333333375000063E9	1.18035044314203796E-1 / -1.05445562438459017E2
5.59027777818750060E9	1.27095785591442212E-1 / -1.11901056306755353E2
5.59722222262500058E9	1.33808355859078354E-1 / -1.18409434864753793E2
5.60416666706249966E9	1.38112754963192730E-1 / -1.24848187471242933E2
5.61111111150000053E9	1.40092947720003380E-1 / -1.31119036687199175E2
5.61805555593750050E9	1.39952499387513596E-1 / -1.37148415832601622E2
5.62500000037500048E9	1.37972341442351487E-1 / -1.42887582495448751E2
5.63194444481250134E9	1.34464242435143544E-1 / -1.48310445135152569E2
5.63888888924999954E9	1.29732019010865618E-1 / -1.53409092796379465E2
5.64583333368750040E9	1.24046729623440966E-1 / -1.58187976002141117E2
5.65277777812499949E9	1.17636165656852643E-1 / -1.62657881223709966E2
5.65972222256249857E9	1.10685316417914548E-1 / -1.66830613944491257E2
5.66666666700000032E9	1.03343352864403504E-1 / -1.70715024426588324E2
5.67361111137500096E9	9.57329206091422336E-2 / -1.74314975193987043E2
5.68055555574999982E9	8.79574919677511069E-2 / -1.77630111915806665E2
5.68750000012499868E9	8.01005911529762216E-2 / 1.79340614534495413E2
5.69444444450000109E9	7.22118215248809214E-2 / 1.76603242907259572E2
5.69791666668750008E9	6.82628540449360965E-2 / 1.75358070975519564E2
5.70138888887500084E9	6.43248692132320343E-2 / 1.74215048413935847E2
5.70486111106250071E9	6.04280407750956883E-2 / 1.73185270052205920E2
5.70833333325000059E9	5.66025863344440605E-2 / 1.72248580863717171E2
5.71180555543750046E9	5.28353694690213782E-2 / 1.71353161515803798E2
5.71527777762499944E9	4.90633717058640428E-2 / 1.70471409536260943E2
5.71874999981250021E9	4.52320452426735820E-2 / 1.69643913497133281E2
5.72222222200000097E9	4.13364450992628818E-2 / 1.68952240680371157E2
5.72395833312500013E9	3.93727420173910758E-2 / 1.68682606832461879E2
5.72569444425000018E9	3.74037348774850731E-2 / 1.68475497766141946E2
5.72743055537500023E9	3.54326771887813674E-2 / 1.68339319217400996E2
5.72916666650000028E9	3.34619355344364511E-2 / 1.68283199091788527E2
5.73090277762499944E9	3.14930245144598553E-2 / 1.68318055166328451E2
5.73263888875000038E9	2.95267785897510215E-2 / 1.68457844009581881E2
5.73437499987500132E9	2.75635953368943287E-2 / 1.68721101041367305E2
5.73611111100000048E9	2.56037201579915275E-2 / 1.69132979493071822E2
5.73958333325000059E9	2.16961484957871420E-2 / 1.70554954924442725E2
5.74305555549999891E9	1.78177792551428471E-2 / 1.73209427236984981E2
5.74652777774999990E9	1.40168592993403385E-2 / 1.78129682590526661E2
5.75000000000000000E9	1.04429838628432980E-2 / -1.72281707705245490E2
5.75694444450000109E9	6.61083428651327765E-3 / -1.18040697750949564E2
5.76388888899999952E9	1.20298975580997380E-2 / -7.09112704056836396E1
5.77083333349999972E9	2.10249271025516649E-2 / -5.98167113818203511E1
5.77777777799999903E9	3.10980991099303417E-2 / -5.79815235464972645E1
5.78125000021875213E9	3.63816757500376209E-2 / -5.84168123213942980E1
5.78472222243749812E9	4.17870312396685506E-2 / -5.93764786597947047E1
5.78819444465625121E9	4.72859135874306524E-2 / -6.07207401221877419E1
5.79166666687499987E9	5.28495279862244338E-2 / -6.23602574375108976E1
5.79513888909374941E9	5.84476534775689238E-2 / -6.42342262743168391E1
5.79861111131250073E9	6.40485511801393148E-2 / -6.62988962568280549E1
5.80208333353125116E9	6.96192849763539456E-2 / -6.85212681777923915E1
