%"freq
%References : ['S(1,1)','S(2,1)','S(1,2)','S(2,2)']
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Real","S(1,1)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,1)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(1,2)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
%Type : Complex
%Complex Format : Mag/Deg","S(2,2)
%References : []
%Dependency : [freq]
%Num. Points : [465]
%Matrix Size : scalar
4.185 GHz,0.083 / -58.690 ,0.673 / 41.184 ,0.673 / 41.184 ,0.025 / -49.485 
4.190 GHz,0.085 / -57.944 ,0.672 / 34.311 ,0.672 / 34.311 ,0.028 / -70.869 
4.194 GHz,0.087 / -57.423 ,0.671 / 27.428 ,0.671 / 27.428 ,0.031 / -89.388 
4.199 GHz,0.089 / -57.173 ,0.670 / 20.538 ,0.670 / 20.538 ,0.036 / -105.443 
4.204 GHz,0.092 / -57.216 ,0.669 / 13.642 ,0.669 / 13.642 ,0.040 / -119.664 
4.208 GHz,0.095 / -57.555 ,0.668 / 6.739 ,0.668 / 6.739 ,0.045 / -132.594 
4.213 GHz,0.098 / -58.180 ,0.667 / -0.168 ,0.667 / -0.168 ,0.049 / -144.632 
4.218 GHz,0.100 / -59.065 ,0.666 / -7.079 ,0.666 / -7.079 ,0.053 / -156.056 
4.222 GHz,0.103 / -60.184 ,0.666 / -13.994 ,0.666 / -13.994 ,0.057 / -167.062 
4.227 GHz,0.106 / -61.503 ,0.665 / -20.910 ,0.665 / -20.910 ,0.061 / -177.784 
4.231 GHz,0.108 / -62.986 ,0.664 / -27.829 ,0.664 / -27.829 ,0.064 / 171.681 
4.236 GHz,0.110 / -64.600 ,0.663 / -34.748 ,0.663 / -34.748 ,0.067 / 161.266 
4.241 GHz,0.112 / -66.310 ,0.662 / -41.668 ,0.662 / -41.668 ,0.070 / 150.927 
4.245 GHz,0.114 / -68.081 ,0.662 / -48.588 ,0.662 / -48.588 ,0.072 / 140.629 
4.250 GHz,0.115 / -69.883 ,0.661 / -55.507 ,0.661 / -55.507 ,0.073 / 130.352 
4.255 GHz,0.115 / -71.682 ,0.661 / -62.426 ,0.661 / -62.426 ,0.074 / 120.080 
4.259 GHz,0.116 / -73.452 ,0.660 / -69.344 ,0.660 / -69.344 ,0.074 / 109.801 
4.262 GHz,0.116 / -74.316 ,0.660 / -72.802 ,0.660 / -72.802 ,0.074 / 104.655 
4.264 GHz,0.116 / -75.163 ,0.660 / -76.260 ,0.660 / -76.260 ,0.074 / 99.503 
4.266 GHz,0.116 / -75.990 ,0.660 / -79.718 ,0.660 / -79.718 ,0.073 / 94.342 
4.269 GHz,0.115 / -76.792 ,0.660 / -83.175 ,0.660 / -83.175 ,0.073 / 89.170 
4.271 GHz,0.115 / -77.568 ,0.660 / -86.632 ,0.660 / -86.632 ,0.072 / 83.984 
4.273 GHz,0.115 / -78.314 ,0.659 / -90.089 ,0.659 / -90.089 ,0.071 / 78.781 
4.275 GHz,0.114 / -79.028 ,0.659 / -93.545 ,0.659 / -93.545 ,0.071 / 73.557 
4.278 GHz,0.114 / -79.709 ,0.659 / -97.000 ,0.659 / -97.000 ,0.070 / 68.308 
4.282 GHz,0.113 / -80.957 ,0.659 / -103.911 ,0.659 / -103.911 ,0.067 / 57.709 
4.287 GHz,0.112 / -82.045 ,0.659 / -110.819 ,0.659 / -110.819 ,0.065 / 46.927 
4.292 GHz,0.111 / -82.959 ,0.659 / -117.725 ,0.659 / -117.725 ,0.062 / 35.888 
4.296 GHz,0.109 / -83.693 ,0.659 / -124.629 ,0.659 / -124.629 ,0.059 / 24.492 
4.301 GHz,0.108 / -84.244 ,0.659 / -131.531 ,0.659 / -131.531 ,0.055 / 12.606 
4.306 GHz,0.107 / -84.616 ,0.659 / -138.430 ,0.659 / -138.430 ,0.052 / 0.062 
4.310 GHz,0.106 / -84.821 ,0.659 / -145.327 ,0.659 / -145.327 ,0.049 / -13.351 
4.315 GHz,0.106 / -84.876 ,0.659 / -152.222 ,0.659 / -152.222 ,0.045 / -27.882 
4.319 GHz,0.106 / -84.811 ,0.659 / -159.113 ,0.659 / -159.113 ,0.042 / -43.779 
4.324 GHz,0.106 / -84.662 ,0.659 / -166.001 ,0.659 / -166.001 ,0.040 / -61.203 
4.329 GHz,0.106 / -84.471 ,0.659 / -172.886 ,0.659 / -172.886 ,0.039 / -80.067 
4.333 GHz,0.107 / -84.287 ,0.658 / -179.768 ,0.658 / -179.768 ,0.039 / -99.881 
4.337 GHz,0.109 / -84.177 ,0.658 / 174.501 ,0.658 / 174.501 ,0.040 / -116.510 
4.341 GHz,0.110 / -84.137 ,0.658 / 168.772 ,0.658 / 168.772 ,0.043 / -132.682 
4.345 GHz,0.112 / -84.196 ,0.658 / 163.046 ,0.658 / 163.046 ,0.046 / -148.007 
4.349 GHz,0.114 / -84.381 ,0.657 / 157.322 ,0.657 / 157.322 ,0.050 / -162.304 
4.353 GHz,0.117 / -84.712 ,0.657 / 151.602 ,0.657 / 151.602 ,0.055 / -175.560 
4.356 GHz,0.120 / -85.211 ,0.656 / 145.885 ,0.656 / 145.885 ,0.061 / 172.136 
4.360 GHz,0.122 / -85.889 ,0.656 / 140.170 ,0.656 / 140.170 ,0.067 / 160.662 
4.364 GHz,0.126 / -86.758 ,0.655 / 134.458 ,0.655 / 134.458 ,0.073 / 149.893 
4.368 GHz,0.129 / -87.824 ,0.654 / 128.748 ,0.654 / 128.748 ,0.079 / 139.725 
4.372 GHz,0.132 / -89.089 ,0.654 / 123.041 ,0.654 / 123.041 ,0.085 / 130.070 
4.376 GHz,0.136 / -90.551 ,0.653 / 117.336 ,0.653 / 117.336 ,0.090 / 120.863 
4.380 GHz,0.139 / -92.207 ,0.652 / 111.633 ,0.652 / 111.633 ,0.096 / 112.053 
4.383 GHz,0.142 / -94.050 ,0.652 / 105.932 ,0.652 / 105.932 ,0.101 / 103.601 
4.387 GHz,0.145 / -96.071 ,0.651 / 100.231 ,0.651 / 100.231 ,0.105 / 95.478 
4.391 GHz,0.148 / -98.259 ,0.650 / 94.530 ,0.650 / 94.530 ,0.110 / 87.659 
4.395 GHz,0.150 / -100.603 ,0.650 / 88.830 ,0.650 / 88.830 ,0.113 / 80.124 
4.399 GHz,0.153 / -103.090 ,0.649 / 83.129 ,0.649 / 83.129 ,0.116 / 72.853 
4.403 GHz,0.155 / -105.705 ,0.648 / 77.427 ,0.648 / 77.427 ,0.119 / 65.830 
4.407 GHz,0.156 / -108.434 ,0.648 / 71.723 ,0.648 / 71.723 ,0.121 / 59.039 
4.410 GHz,0.157 / -111.263 ,0.647 / 66.016 ,0.647 / 66.016 ,0.123 / 52.462 
4.414 GHz,0.157 / -114.175 ,0.646 / 60.307 ,0.646 / 60.307 ,0.124 / 46.086 
4.418 GHz,0.157 / -117.156 ,0.646 / 54.593 ,0.646 / 54.593 ,0.124 / 39.894 
4.422 GHz,0.157 / -120.191 ,0.645 / 48.875 ,0.645 / 48.875 ,0.124 / 33.871 
4.426 GHz,0.155 / -123.265 ,0.645 / 43.151 ,0.645 / 43.151 ,0.124 / 28.004 
4.430 GHz,0.154 / -126.362 ,0.644 / 37.422 ,0.644 / 37.422 ,0.123 / 22.281 
4.434 GHz,0.151 / -129.467 ,0.644 / 31.687 ,0.644 / 31.687 ,0.122 / 16.691 
4.438 GHz,0.149 / -132.565 ,0.644 / 25.945 ,0.644 / 25.945 ,0.120 / 11.223 
4.441 GHz,0.145 / -135.639 ,0.644 / 20.195 ,0.644 / 20.195 ,0.118 / 5.871 
4.445 GHz,0.141 / -138.672 ,0.643 / 14.438 ,0.643 / 14.438 ,0.115 / 0.632 
4.449 GHz,0.137 / -141.647 ,0.643 / 8.674 ,0.643 / 8.674 ,0.111 / -4.495 
4.453 GHz,0.133 / -144.541 ,0.643 / 2.901 ,0.643 / 2.901 ,0.108 / -9.505 
4.457 GHz,0.128 / -147.331 ,0.643 / -2.880 ,0.643 / -2.880 ,0.103 / -14.387 
4.461 GHz,0.122 / -149.988 ,0.643 / -8.668 ,0.643 / -8.668 ,0.098 / -19.121 
4.465 GHz,0.117 / -152.478 ,0.643 / -14.465 ,0.643 / -14.465 ,0.093 / -23.675 
4.468 GHz,0.111 / -154.762 ,0.643 / -20.268 ,0.643 / -20.268 ,0.087 / -28.001 
4.472 GHz,0.105 / -156.791 ,0.642 / -26.079 ,0.642 / -26.079 ,0.080 / -32.027 
4.476 GHz,0.099 / -158.505 ,0.642 / -31.895 ,0.642 / -31.895 ,0.073 / -35.642 
4.480 GHz,0.093 / -159.836 ,0.642 / -37.718 ,0.642 / -37.718 ,0.066 / -38.677 
4.484 GHz,0.087 / -160.708 ,0.642 / -43.545 ,0.642 / -43.545 ,0.058 / -40.863 
4.488 GHz,0.082 / -161.037 ,0.642 / -49.376 ,0.642 / -49.376 ,0.050 / -41.762 
4.492 GHz,0.077 / -160.748 ,0.642 / -55.211 ,0.642 / -55.211 ,0.042 / -40.637 
4.495 GHz,0.072 / -159.793 ,0.641 / -61.047 ,0.641 / -61.047 ,0.035 / -36.265 
4.499 GHz,0.069 / -158.178 ,0.641 / -66.883 ,0.641 / -66.883 ,0.029 / -26.933 
4.503 GHz,0.066 / -155.999 ,0.641 / -72.720 ,0.641 / -72.720 ,0.026 / -11.810 
4.507 GHz,0.065 / -153.462 ,0.640 / -78.555 ,0.640 / -78.555 ,0.027 / 5.618 
4.511 GHz,0.064 / -150.868 ,0.640 / -84.388 ,0.640 / -84.388 ,0.032 / 19.251 
4.515 GHz,0.065 / -148.560 ,0.639 / -90.217 ,0.639 / -90.217 ,0.039 / 27.175 
4.519 GHz,0.068 / -146.836 ,0.639 / -96.041 ,0.639 / -96.041 ,0.047 / 30.792 
4.523 GHz,0.071 / -145.821 ,0.638 / -103.022 ,0.638 / -103.022 ,0.058 / 31.665 
4.528 GHz,0.076 / -146.084 ,0.637 / -109.994 ,0.637 / -109.994 ,0.069 / 30.362 
4.532 GHz,0.081 / -147.602 ,0.636 / -116.955 ,0.636 / -116.955 ,0.081 / 27.820 
4.537 GHz,0.087 / -150.257 ,0.635 / -123.904 ,0.635 / -123.904 ,0.092 / 24.549 
4.542 GHz,0.093 / -153.907 ,0.634 / -130.839 ,0.634 / -130.839 ,0.103 / 20.839 
4.546 GHz,0.099 / -158.410 ,0.632 / -137.762 ,0.632 / -137.762 ,0.114 / 16.862 
4.551 GHz,0.105 / -163.645 ,0.631 / -144.670 ,0.631 / -144.670 ,0.124 / 12.724 
4.556 GHz,0.110 / -169.510 ,0.630 / -151.564 ,0.630 / -151.564 ,0.134 / 8.492 
4.560 GHz,0.116 / -175.921 ,0.628 / -158.444 ,0.628 / -158.444 ,0.144 / 4.205 
4.565 GHz,0.121 / 177.191 ,0.627 / -165.311 ,0.627 / -165.311 ,0.154 / -0.111 
4.569 GHz,0.126 / 169.886 ,0.625 / -172.164 ,0.625 / -172.164 ,0.163 / -4.440 
4.574 GHz,0.131 / 162.220 ,0.623 / -179.004 ,0.623 / -179.004 ,0.173 / -8.775 
4.579 GHz,0.137 / 154.245 ,0.622 / 174.168 ,0.622 / 174.168 ,0.182 / -13.114 
4.583 GHz,0.142 / 146.011 ,0.620 / 167.352 ,0.620 / 167.352 ,0.191 / -17.457 
4.588 GHz,0.148 / 137.572 ,0.618 / 160.548 ,0.618 / 160.548 ,0.199 / -21.807 
4.593 GHz,0.154 / 128.980 ,0.616 / 153.754 ,0.616 / 153.754 ,0.208 / -26.168 
4.597 GHz,0.161 / 120.291 ,0.614 / 146.972 ,0.614 / 146.972 ,0.216 / -30.547 
4.602 GHz,0.168 / 111.556 ,0.611 / 140.201 ,0.611 / 140.201 ,0.225 / -34.950 
4.606 GHz,0.175 / 102.825 ,0.609 / 133.442 ,0.609 / 133.442 ,0.233 / -39.383 
4.611 GHz,0.183 / 94.142 ,0.606 / 126.693 ,0.606 / 126.693 ,0.241 / -43.853 
4.616 GHz,0.192 / 85.547 ,0.604 / 119.957 ,0.604 / 119.957 ,0.250 / -48.369 
4.620 GHz,0.201 / 77.070 ,0.601 / 113.234 ,0.601 / 113.234 ,0.258 / -52.936 
4.625 GHz,0.211 / 68.737 ,0.598 / 106.524 ,0.598 / 106.524 ,0.265 / -57.561 
4.630 GHz,0.221 / 60.564 ,0.595 / 99.829 ,0.595 / 99.829 ,0.273 / -62.251 
4.634 GHz,0.231 / 52.565 ,0.592 / 93.149 ,0.592 / 93.149 ,0.281 / -67.011 
4.639 GHz,0.241 / 44.746 ,0.588 / 86.485 ,0.588 / 86.485 ,0.288 / -71.846 
4.644 GHz,0.252 / 37.109 ,0.585 / 79.838 ,0.585 / 79.838 ,0.295 / -76.759 
4.648 GHz,0.262 / 29.654 ,0.582 / 73.208 ,0.582 / 73.208 ,0.302 / -81.756 
4.653 GHz,0.273 / 22.377 ,0.578 / 66.596 ,0.578 / 66.596 ,0.309 / -86.837 
4.657 GHz,0.283 / 15.272 ,0.575 / 60.001 ,0.575 / 60.001 ,0.315 / -92.004 
4.662 GHz,0.292 / 8.334 ,0.572 / 53.424 ,0.572 / 53.424 ,0.321 / -97.257 
4.667 GHz,0.302 / 1.554 ,0.568 / 46.864 ,0.568 / 46.864 ,0.326 / -102.596 
4.671 GHz,0.309 / -3.982 ,0.566 / 41.410 ,0.566 / 41.410 ,0.330 / -107.109 
4.674 GHz,0.316 / -9.420 ,0.563 / 35.966 ,0.563 / 35.966 ,0.333 / -111.679 
4.678 GHz,0.323 / -14.766 ,0.561 / 30.531 ,0.561 / 30.531 ,0.336 / -116.305 
4.682 GHz,0.329 / -20.025 ,0.559 / 25.105 ,0.559 / 25.105 ,0.339 / -120.983 
4.687 GHz,0.336 / -26.486 ,0.556 / 18.333 ,0.556 / 18.333 ,0.342 / -126.903 
4.692 GHz,0.342 / -32.832 ,0.554 / 11.571 ,0.554 / 11.571 ,0.344 / -132.899 
4.697 GHz,0.347 / -39.073 ,0.552 / 4.814 ,0.552 / 4.814 ,0.345 / -138.967 
4.701 GHz,0.352 / -45.220 ,0.550 / -1.939 ,0.550 / -1.939 ,0.345 / -145.103 
4.706 GHz,0.355 / -51.282 ,0.549 / -8.692 ,0.549 / -8.692 ,0.345 / -151.307 
4.711 GHz,0.358 / -57.267 ,0.548 / -15.448 ,0.548 / -15.448 ,0.344 / -157.576 
4.716 GHz,0.360 / -63.181 ,0.548 / -22.209 ,0.548 / -22.209 ,0.342 / -163.911 
4.721 GHz,0.360 / -69.030 ,0.548 / -28.979 ,0.548 / -28.979 ,0.339 / -170.313 
4.726 GHz,0.359 / -74.817 ,0.548 / -35.759 ,0.548 / -35.759 ,0.336 / -176.784 
4.730 GHz,0.358 / -80.543 ,0.549 / -42.553 ,0.549 / -42.553 ,0.333 / 176.671 
4.735 GHz,0.355 / -86.207 ,0.550 / -49.360 ,0.550 / -49.360 ,0.328 / 170.050 
4.740 GHz,0.351 / -91.808 ,0.551 / -56.183 ,0.551 / -56.183 ,0.323 / 163.347 
4.745 GHz,0.345 / -97.343 ,0.552 / -63.020 ,0.552 / -63.020 ,0.318 / 156.559 
4.750 GHz,0.339 / -102.804 ,0.554 / -69.872 ,0.554 / -69.872 ,0.311 / 149.685 
4.754 GHz,0.332 / -108.187 ,0.556 / -76.735 ,0.556 / -76.735 ,0.305 / 142.724 
4.759 GHz,0.324 / -113.484 ,0.558 / -83.607 ,0.558 / -83.607 ,0.297 / 135.681 
4.762 GHz,0.325 / -117.184 ,0.561 / -88.079 ,0.561 / -88.079 ,0.299 / 129.622 
4.766 GHz,0.324 / -121.017 ,0.563 / -92.594 ,0.563 / -92.594 ,0.298 / 123.586 
4.769 GHz,0.322 / -124.961 ,0.565 / -97.146 ,0.565 / -97.146 ,0.294 / 117.662 
4.772 GHz,0.318 / -128.985 ,0.568 / -101.735 ,0.568 / -101.735 ,0.289 / 111.926 
4.775 GHz,0.312 / -133.056 ,0.570 / -106.358 ,0.570 / -106.358 ,0.282 / 106.440 
4.779 GHz,0.305 / -137.135 ,0.573 / -111.011 ,0.573 / -111.011 ,0.274 / 101.243 
4.782 GHz,0.297 / -141.185 ,0.575 / -115.693 ,0.575 / -115.693 ,0.265 / 96.360 
4.785 GHz,0.287 / -145.169 ,0.578 / -120.400 ,0.578 / -120.400 ,0.255 / 91.796 
4.791 GHz,0.263 / -152.802 ,0.583 / -129.878 ,0.583 / -129.878 ,0.236 / 83.597 
4.798 GHz,0.237 / -159.811 ,0.588 / -139.425 ,0.588 / -139.425 ,0.218 / 76.520 
4.804 GHz,0.209 / -166.052 ,0.593 / -149.016 ,0.593 / -149.016 ,0.201 / 70.394 
4.811 GHz,0.182 / -171.443 ,0.597 / -158.634 ,0.597 / -158.634 ,0.187 / 65.048 
4.817 GHz,0.156 / -175.933 ,0.602 / -168.258 ,0.602 / -168.258 ,0.174 / 60.335 
4.824 GHz,0.132 / -179.451 ,0.606 / -177.874 ,0.606 / -177.874 ,0.164 / 56.136 
4.830 GHz,0.110 / 178.145 ,0.610 / 172.534 ,0.610 / 172.534 ,0.154 / 52.355 
4.836 GHz,0.089 / 177.160 ,0.613 / 162.975 ,0.613 / 162.975 ,0.147 / 48.917 
4.843 GHz,0.071 / 178.226 ,0.616 / 153.457 ,0.616 / 153.457 ,0.140 / 45.763 
4.849 GHz,0.055 / -177.360 ,0.619 / 143.986 ,0.619 / 143.986 ,0.134 / 42.843 
4.856 GHz,0.042 / -167.137 ,0.621 / 134.564 ,0.621 / 134.564 ,0.130 / 40.117 
4.862 GHz,0.034 / -148.277 ,0.623 / 125.191 ,0.623 / 125.191 ,0.126 / 37.548 
4.869 GHz,0.034 / -124.517 ,0.624 / 115.865 ,0.624 / 115.865 ,0.123 / 35.100 
4.875 GHz,0.041 / -106.882 ,0.626 / 106.583 ,0.626 / 106.583 ,0.121 / 32.736 
4.881 GHz,0.052 / -98.093 ,0.627 / 97.339 ,0.627 / 97.339 ,0.120 / 30.411 
4.888 GHz,0.064 / -95.189 ,0.627 / 88.127 ,0.627 / 88.127 ,0.119 / 28.067 
4.894 GHz,0.078 / -95.835 ,0.628 / 78.939 ,0.628 / 78.939 ,0.119 / 25.629 
4.901 GHz,0.091 / -98.800 ,0.628 / 69.769 ,0.628 / 69.769 ,0.120 / 22.988 
4.907 GHz,0.103 / -103.439 ,0.628 / 60.610 ,0.628 / 60.610 ,0.122 / 20.000 
4.914 GHz,0.113 / -109.350 ,0.628 / 51.452 ,0.628 / 51.452 ,0.125 / 16.470 
4.917 GHz,0.117 / -113.371 ,0.628 / 45.955 ,0.628 / 45.955 ,0.127 / 13.998 
4.921 GHz,0.121 / -117.662 ,0.627 / 40.456 ,0.627 / 40.456 ,0.129 / 11.200 
4.925 GHz,0.123 / -122.149 ,0.627 / 34.951 ,0.627 / 34.951 ,0.131 / 8.041 
4.929 GHz,0.124 / -126.757 ,0.627 / 29.440 ,0.627 / 29.440 ,0.132 / 4.511 
4.933 GHz,0.124 / -131.410 ,0.627 / 23.923 ,0.627 / 23.923 ,0.133 / 0.641 
4.937 GHz,0.122 / -136.039 ,0.626 / 18.396 ,0.626 / 18.396 ,0.132 / -3.480 
4.941 GHz,0.119 / -140.581 ,0.626 / 12.861 ,0.626 / 12.861 ,0.130 / -7.707 
4.944 GHz,0.115 / -144.985 ,0.626 / 7.315 ,0.626 / 7.315 ,0.127 / -11.856 
4.951 GHz,0.105 / -152.459 ,0.625 / -2.695 ,0.625 / -2.695 ,0.119 / -18.562 
4.958 GHz,0.094 / -159.269 ,0.624 / -12.745 ,0.624 / -12.745 ,0.109 / -23.724 
4.965 GHz,0.082 / -165.431 ,0.624 / -22.834 ,0.624 / -22.834 ,0.100 / -27.251 
4.972 GHz,0.069 / -171.059 ,0.623 / -32.964 ,0.623 / -32.964 ,0.092 / -29.467 
4.979 GHz,0.056 / -176.375 ,0.623 / -43.133 ,0.623 / -43.133 ,0.086 / -30.808 
4.986 GHz,0.044 / 178.206 ,0.622 / -53.339 ,0.622 / -53.339 ,0.081 / -31.641 
4.993 GHz,0.031 / 171.713 ,0.621 / -63.578 ,0.621 / -63.578 ,0.077 / -32.224 
5.000 GHz,0.019 / 160.802 ,0.621 / -73.845 ,0.621 / -73.845 ,0.075 / -32.718 
5.003 GHz,0.013 / 149.504 ,0.620 / -78.987 ,0.620 / -78.987 ,0.073 / -32.963 
5.007 GHz,0.009 / 124.745 ,0.620 / -84.134 ,0.620 / -84.134 ,0.072 / -33.217 
5.010 GHz,0.007 / 76.223 ,0.620 / -89.285 ,0.620 / -89.285 ,0.072 / -33.485 
5.014 GHz,0.011 / 40.446 ,0.620 / -94.439 ,0.620 / -94.439 ,0.071 / -33.772 
5.017 GHz,0.017 / 25.359 ,0.620 / -99.595 ,0.620 / -99.595 ,0.070 / -34.080 
5.021 GHz,0.024 / 18.219 ,0.619 / -104.753 ,0.619 / -104.753 ,0.069 / -34.410 
5.024 GHz,0.032 / 14.396 ,0.619 / -109.911 ,0.619 / -109.911 ,0.069 / -34.765 
5.028 GHz,0.040 / 12.322 ,0.619 / -115.069 ,0.619 / -115.069 ,0.068 / -35.145 
5.031 GHz,0.049 / 11.384 ,0.619 / -120.225 ,0.619 / -120.225 ,0.068 / -35.550 
5.035 GHz,0.059 / 11.338 ,0.619 / -125.380 ,0.619 / -125.380 ,0.067 / -35.982 
5.038 GHz,0.069 / 12.113 ,0.619 / -130.531 ,0.619 / -130.531 ,0.067 / -36.441 
